CMDLINE /home/ey/personal/program/MoE/huggingface/transformers/venv/bin/python /home/ey/personal/program/MoE/huggingface/transformers/examples/research_projects/switch-base-generation/memory_profile.py
MEM 0.375000 1692338669.4019
MEM 24.835938 1692338669.5022
MEM 39.988281 1692338669.6024
MEM 49.238281 1692338669.7029
MEM 58.738281 1692338669.8031
MEM 65.113281 1692338669.9034
MEM 65.363281 1692338670.0036
MEM 102.937500 1692338670.1039
MEM 134.937500 1692338670.2042
MEM 170.187500 1692338670.3045
MEM 189.937500 1692338670.4048
MEM 262.062500 1692338670.5051
MEM 274.312500 1692338670.6053
MEM 281.062500 1692338670.7056
MEM 286.812500 1692338670.8059
MEM 297.312500 1692338670.9061
MEM 305.187500 1692338671.0064
MEM 315.562500 1692338671.1067
MEM 323.812500 1692338671.2069
MEM 328.187500 1692338671.3073
MEM 334.437500 1692338671.4075
MEM 338.437500 1692338671.5078
MEM 346.093750 1692338671.6081
MEM 347.843750 1692338671.7083
MEM 383.218750 1692338671.8086
MEM 487.968750 1692338671.9089
MEM 573.968750 1692338672.0092
MEM 802.718750 1692338672.1095
MEM 1015.843750 1692338672.2098
MEM 1093.343750 1692338672.3101
MEM 1151.218750 1692338672.4104
MEM 1112.601562 1692338672.5107
MEM 1174.226562 1692338672.6110
MEM 1235.476562 1692338672.7112
MEM 1295.851562 1692338672.8115
MEM 1363.976562 1692338672.9118
MEM 1326.378906 1692338673.0121
MEM 1386.878906 1692338673.1123
MEM 1448.128906 1692338673.2126
MEM 1509.253906 1692338673.3129
MEM 1574.128906 1692338673.4132
MEM 1646.878906 1692338673.5135
MEM 1685.050781 1692338673.6137
MEM 1685.050781 1692338673.7140
MEM 1685.050781 1692338673.8142
MEM 1685.050781 1692338673.9145
MEM 1685.050781 1692338674.0147
MEM 1685.050781 1692338674.1150
MEM 1685.050781 1692338674.2152
MEM 1685.050781 1692338674.3154
MEM 1385.300781 1692338674.4157
MEM 1385.300781 1692338674.5162
MEM 1385.300781 1692338674.6165
MEM 1385.300781 1692338674.7168
MEM 1385.550781 1692338674.8178
MEM 1385.550781 1692338674.9182
MEM 1075.707031 1692338675.0185
MEM 1075.707031 1692338675.1189
MEM 1075.707031 1692338675.2192
MEM 1083.085938 1692338675.3195
