CMDLINE /home/ey/personal/program/MoE/huggingface/transformers/venv/bin/python ./memory_profile.py
MEM 0.007812 1684684067.1110
MEM 10.488281 1684684067.2117
MEM 16.906250 1684684067.3123
MEM 20.808594 1684684067.4130
MEM 26.367188 1684684067.5139
MEM 30.722656 1684684067.6145
MEM 37.218750 1684684067.7151
MEM 39.714844 1684684067.8157
MEM 42.199219 1684684067.9164
MEM 43.425781 1684684068.0171
MEM 45.777344 1684684068.1177
MEM 47.402344 1684684068.2183
MEM 53.500000 1684684068.3190
MEM 65.082031 1684684068.4196
MEM 101.738281 1684684068.5202
MEM 106.484375 1684684068.6209
MEM 118.375000 1684684068.7215
MEM 132.804688 1684684068.8222
MEM 142.195312 1684684068.9228
MEM 148.687500 1684684069.0236
MEM 153.105469 1684684069.1243
MEM 156.960938 1684684069.2251
MEM 164.289062 1684684069.3257
MEM 168.046875 1684684069.4262
MEM 173.664062 1684684069.5269
MEM 182.000000 1684684069.6275
MEM 213.980469 1684684069.7281
MEM 245.414062 1684684069.8287
MEM 251.574219 1684684069.9293
MEM 255.023438 1684684070.0299
MEM 257.417969 1684684070.1304
MEM 258.191406 1684684070.2309
MEM 262.113281 1684684070.3315
MEM 265.218750 1684684070.4320
MEM 268.054688 1684684070.5326
MEM 269.695312 1684684070.6332
MEM 274.933594 1684684070.7337
MEM 276.273438 1684684070.8342
MEM 280.914062 1684684070.9348
MEM 285.480469 1684684071.0354
MEM 288.316406 1684684071.1359
MEM 291.925781 1684684071.2364
MEM 295.535156 1684684071.3370
MEM 298.113281 1684684071.4375
MEM 300.175781 1684684071.5381
MEM 301.464844 1684684071.6387
MEM 303.785156 1684684071.7393
MEM 306.363281 1684684071.8398
MEM 308.656250 1684684071.9403
MEM 310.976562 1684684072.0408
MEM 315.136719 1684684072.1414
MEM 317.714844 1684684072.2421
MEM 321.324219 1684684072.3426
MEM 323.128906 1684684072.4431
MEM 323.386719 1684684072.5436
MEM 323.386719 1684684072.6442
MEM 323.644531 1684684072.7447
MEM 323.644531 1684684072.8453
MEM 342.535156 1684684072.9458
MEM 356.925781 1684684073.0464
MEM 381.214844 1684684073.1470
MEM 414.781250 1684684073.2477
MEM 438.757812 1684684073.3483
MEM 473.304688 1684684073.4489
MEM 506.562500 1684684073.5495
MEM 536.726562 1684684073.6501
MEM 565.601562 1684684073.7507
MEM 606.851562 1684684073.8514
MEM 658.156250 1684684073.9520
MEM 681.644531 1684684074.0527
MEM 698.660156 1684684074.1533
MEM 715.675781 1684684074.2539
MEM 731.917969 1684684074.3546
MEM 748.933594 1684684074.4552
MEM 763.371094 1684684074.5557
MEM 766.464844 1684684074.6563
MEM 783.738281 1684684074.7570
MEM 802.042969 1684684074.8575
MEM 820.863281 1684684074.9581
MEM 839.167969 1684684075.0587
MEM 857.472656 1684684075.1594
MEM 763.394531 1684684075.2600
MEM 779.140625 1684684075.3606
MEM 794.609375 1684684075.4611
MEM 809.046875 1684684075.5617
MEM 825.289062 1684684075.6623
MEM 839.726562 1684684075.7628
MEM 855.195312 1684684075.8635
MEM 870.664062 1684684075.9640
MEM 885.617188 1684684076.0646
MEM 902.632812 1684684076.1651
MEM 918.875000 1684684076.2657
MEM 935.375000 1684684076.3662
MEM 950.585938 1684684076.4668
MEM 967.343750 1684684076.5674
MEM 977.398438 1684684076.6681
MEM 990.289062 1684684076.7687
MEM 1009.882812 1684684076.8692
MEM 1030.507812 1684684076.9698
MEM 1050.875000 1684684077.0704
MEM 1071.242188 1684684077.1709
MEM 985.289062 1684684077.2715
MEM 996.230469 1684684077.3721
MEM 1013.503906 1684684077.4726
MEM 1030.003906 1684684077.5731
MEM 1045.730469 1684684077.6737
MEM 1062.746094 1684684077.7743
MEM 1079.503906 1684684077.8748
MEM 1095.488281 1684684077.9754
MEM 1112.246094 1684684078.0759
MEM 1129.261719 1684684078.1765
MEM 1145.246094 1684684078.2770
MEM 1162.003906 1684684078.3776
MEM 1179.277344 1684684078.4781
MEM 1196.035156 1684684078.5787
MEM 1212.277344 1684684078.6792
MEM 1229.550781 1684684078.7797
MEM 1246.308594 1684684078.8803
MEM 1262.292969 1684684078.9808
MEM 1279.566406 1684684079.0814
MEM 1296.324219 1684684079.1819
