CMDLINE /usr/bin/python3 ./memory_profile.py
MEM 0.722656 1690421817.6350
MEM 11.363281 1690421817.7357
MEM 15.675781 1690421817.8368
MEM 25.460938 1690421817.9374
MEM 33.640625 1690421818.0379
MEM 37.691406 1690421818.1385
MEM 40.253906 1690421818.2390
MEM 42.050781 1690421818.3396
MEM 42.777344 1690421818.4407
MEM 42.777344 1690421818.5414
MEM 42.910156 1690421818.6419
MEM 42.910156 1690421818.7424
MEM 42.910156 1690421818.8429
MEM 42.910156 1690421818.9434
MEM 43.300781 1690421819.0441
MEM 43.300781 1690421819.1446
MEM 43.300781 1690421819.2451
MEM 43.300781 1690421819.3463
MEM 43.300781 1690421819.4468
MEM 43.300781 1690421819.5473
MEM 44.265625 1690421819.6479
MEM 44.910156 1690421819.7484
MEM 46.316406 1690421819.8489
MEM 53.566406 1690421819.9494
MEM 56.007812 1690421820.0500
MEM 57.187500 1690421820.1506
MEM 58.257812 1690421820.2510
MEM 58.417969 1690421820.3542
MEM 78.953125 1690421820.4549
MEM 87.238281 1690421820.5555
MEM 91.558594 1690421820.6560
MEM 114.132812 1690421820.7566
MEM 123.386719 1690421820.8572
MEM 143.593750 1690421820.9577
MEM 172.375000 1690421821.0582
MEM 178.492188 1690421821.1588
MEM 182.378906 1690421821.2593
MEM 185.019531 1690421821.3598
MEM 188.734375 1690421821.4603
MEM 192.304688 1690421821.5608
MEM 206.863281 1690421821.6614
MEM 224.734375 1690421821.7621
MEM 232.250000 1690421821.8627
MEM 232.796875 1690421821.9633
MEM 235.632812 1690421822.0638
MEM 241.128906 1690421822.1643
MEM 244.558594 1690421822.2647
MEM 248.226562 1690421822.3652
MEM 250.480469 1690421822.4664
MEM 252.218750 1690421822.5669
MEM 252.628906 1690421822.6675
MEM 252.781250 1690421822.7680
MEM 252.781250 1690421822.8686
MEM 276.109375 1690421822.9692
MEM 285.968750 1690421823.0697
MEM 393.019531 1690421823.1703
MEM 496.039062 1690421823.2709
MEM 591.890625 1690421823.3716
MEM 684.148438 1690421823.4724
MEM 764.128906 1690421823.5731
MEM 846.886719 1690421823.6737
MEM 918.683594 1690421823.7743
MEM 945.238281 1690421823.8749
MEM 971.277344 1690421823.9755
MEM 997.832031 1690421824.0761
MEM 1010.207031 1690421824.1766
MEM 1010.207031 1690421824.2771
MEM 1010.207031 1690421824.3777
MEM 1010.207031 1690421824.4783
MEM 1010.207031 1690421824.5789
MEM 1010.207031 1690421824.6795
MEM 1010.207031 1690421824.7801
MEM 1010.207031 1690421824.8806
MEM 1014.589844 1690421824.9813
MEM 1041.144531 1690421825.0818
MEM 1067.441406 1690421825.1824
MEM 1093.996094 1690421825.2830
MEM 1104.566406 1690421825.3836
MEM 1104.566406 1690421825.4842
MEM 1104.566406 1690421825.5847
MEM 1104.566406 1690421825.6853
MEM 1104.566406 1690421825.7859
MEM 1104.566406 1690421825.8864
MEM 1104.566406 1690421825.9870
MEM 1104.566406 1690421826.0879
MEM 1010.464844 1690421826.1885
MEM 1031.062500 1690421826.2890
MEM 1048.335938 1690421826.3896
MEM 1068.703125 1690421826.4901
MEM 1085.976562 1690421826.5907
MEM 1106.859375 1690421826.6913
MEM 1124.132812 1690421826.7918
MEM 1145.273438 1690421826.8924
MEM 1161.515625 1690421826.9929
MEM 1182.398438 1690421827.0935
MEM 1198.382812 1690421827.1941
MEM 1218.750000 1690421827.2947
MEM 1235.507812 1690421827.3952
MEM 1261.289062 1690421827.4966
MEM 1286.812500 1690421827.5973
MEM 1312.593750 1690421827.6978
MEM 1321.875000 1690421827.7984
MEM 1321.875000 1690421827.8991
MEM 1321.875000 1690421827.9997
MEM 1321.875000 1690421828.1003
MEM 1321.875000 1690421828.2008
MEM 1321.875000 1690421828.3014
MEM 1321.875000 1690421828.4019
MEM 1321.875000 1690421828.5025
MEM 1228.480469 1690421828.6031
MEM 1246.011719 1690421828.7037
MEM 1266.121094 1690421828.8042
MEM 1282.878906 1690421828.9048
MEM 1300.667969 1690421829.0054
MEM 1321.292969 1690421829.1060
MEM 1338.050781 1690421829.2065
MEM 1355.582031 1690421829.3071
MEM 1375.433594 1690421829.4077
MEM 1392.707031 1690421829.5083
MEM 1411.785156 1690421829.6088
MEM 1431.636719 1690421829.7094
MEM 1448.652344 1690421829.8099
MEM 1466.699219 1690421829.9105
MEM 1486.550781 1690421830.0111
MEM 1504.339844 1690421830.1117
MEM 1522.128906 1690421830.2123
MEM 1542.238281 1690421830.3128
MEM 1559.769531 1690421830.4135
MEM 1579.878906 1690421830.5140
MEM 1589.195312 1690421830.6146
MEM 1609.164062 1690421830.7152
MEM 1626.445312 1690421830.8160
MEM 1665.652344 1690421830.9167
MEM 1737.316406 1690421831.0173
MEM 1742.214844 1690421831.1178
MEM 1740.265625 1690421831.2184
MEM 1773.859375 1690421831.3190
MEM 1800.906250 1690421831.4197
MEM 1821.515625 1690421831.5203
MEM 1888.023438 1690421831.6208
MEM 1904.265625 1690421831.7214
MEM 1908.605469 1690421831.8220
MEM 1937.207031 1690421831.9225
MEM 1976.187500 1690421832.0231
MEM 2015.910156 1690421832.1238
MEM 2038.597656 1690421832.2243
MEM 2046.355469 1690421832.3249
MEM 2087.277344 1690421832.4255
MEM 2123.628906 1690421832.5261
MEM 2136.003906 1690421832.6267
MEM 2153.582031 1690421832.7273
MEM 2168.218750 1690421832.8280
MEM 2210.265625 1690421832.9286
MEM 2236.617188 1690421833.0293
MEM 2286.863281 1690421833.1298
MEM 2300.632812 1690421833.2304
MEM 2320.578125 1690421833.3311
MEM 2332.074219 1690421833.4317
MEM 2366.863281 1690421833.5323
MEM 2380.746094 1690421833.6329
MEM 2416.773438 1690421833.7334
MEM 2450.441406 1690421833.8341
MEM 2459.511719 1690421833.9348
MEM 2522.921875 1690421834.0354
MEM 2544.062500 1690421834.1360
MEM 2567.015625 1690421834.2366
MEM 2580.164062 1690421834.3372
MEM 2590.753906 1690421834.4378
MEM 2617.238281 1690421834.5384
MEM 2641.683594 1690421834.6390
MEM 2680.925781 1690421834.7396
MEM 2723.039062 1690421834.8402
MEM 2740.546875 1690421834.9407
MEM 2777.355469 1690421835.0414
MEM 2814.781250 1690421835.1421
MEM 2845.132812 1690421835.2426
MEM 2883.238281 1690421835.3436
MEM 2906.183594 1690421835.4441
MEM 2919.941406 1690421835.5447
MEM 2954.605469 1690421835.6453
MEM 2984.578125 1690421835.7459
MEM 3010.835938 1690421835.8465
MEM 3047.585938 1690421835.9471
MEM 3068.078125 1690421836.0478
MEM 3097.921875 1690421836.1483
MEM 3133.648438 1690421836.2489
MEM 3174.605469 1690421836.3495
MEM 3186.191406 1690421836.4501
MEM 3206.082031 1690421836.5507
MEM 3260.730469 1690421836.6513
MEM 3280.839844 1690421836.7518
MEM 3291.328125 1690421836.8524
MEM 3309.242188 1690421836.9531
MEM 3347.371094 1690421837.0537
MEM 3389.105469 1690421837.1543
MEM 3411.785156 1690421837.2549
MEM 3462.351562 1690421837.3556
MEM 3494.578125 1690421837.4562
MEM 3510.058594 1690421837.5568
MEM 3533.941406 1690421837.6574
MEM 3543.917969 1690421837.7584
MEM 3537.492188 1690421837.8589
MEM 3537.492188 1690421837.9595
MEM 3537.492188 1690421838.0601
MEM 3537.492188 1690421838.1606
MEM 3537.492188 1690421838.2612
MEM 3537.492188 1690421838.3616
MEM 3537.492188 1690421838.4622
MEM 3537.492188 1690421838.5628
MEM 3537.492188 1690421838.6634
MEM 3537.492188 1690421838.7640
MEM 3537.492188 1690421838.8645
MEM 3537.492188 1690421838.9651
MEM 3537.492188 1690421839.0657
MEM 3537.492188 1690421839.1662
MEM 3537.492188 1690421839.2668
MEM 3537.492188 1690421839.3673
MEM 3537.492188 1690421839.4680
MEM 3537.492188 1690421839.5685
MEM 3537.492188 1690421839.6690
MEM 3537.828125 1690421839.7695
MEM 3537.828125 1690421839.8701
MEM 3537.828125 1690421839.9706
MEM 3537.828125 1690421840.0711
MEM 3537.828125 1690421840.1717
MEM 3537.828125 1690421840.2722
MEM 3537.828125 1690421840.3728
MEM 3537.828125 1690421840.4734
MEM 3537.828125 1690421840.5740
MEM 3537.828125 1690421840.6745
MEM 3537.828125 1690421840.7751
MEM 3537.828125 1690421840.8759
MEM 3537.828125 1690421840.9764
MEM 3537.828125 1690421841.0773
MEM 3537.828125 1690421841.1784
MEM 3537.828125 1690421841.2790
MEM 3537.828125 1690421841.3796
MEM 3537.828125 1690421841.4802
MEM 3537.828125 1690421841.5807
MEM 3227.765625 1690421841.6812
MEM 3235.554688 1690421841.7818
MEM 3239.769531 1690421841.8824
MEM 3239.769531 1690421841.9830
MEM 3239.769531 1690421842.0837
MEM 3239.769531 1690421842.1843
MEM 3239.769531 1690421842.2848
MEM 3239.769531 1690421842.3855
MEM 3239.769531 1690421842.4861
MEM 3239.769531 1690421842.5867
MEM 3239.769531 1690421842.6873
MEM 3239.769531 1690421842.7879
MEM 3239.769531 1690421842.8887
MEM 3226.601562 1690421842.9892
MEM 2927.562500 1690421843.0898
MEM 2927.312500 1690421843.1905
MEM 2927.312500 1690421843.2911
MEM 2926.816406 1690421843.3918
MEM 2926.816406 1690421843.4924
MEM 2933.011719 1690421843.5930
MEM 0.000000 1690421843.6936
MEM 0.000000 1690421843.7948
MEM 0.000000 1690421843.8954
MEM 0.000000 1690421843.9959
