CMDLINE /usr/bin/python3 ./memory_profile.py
MEM 0.730469 1690424314.5930
MEM 11.484375 1690424314.6936
MEM 16.605469 1690424314.7941
MEM 26.550781 1690424314.8946
MEM 34.457031 1690424314.9951
MEM 37.046875 1690424315.0956
MEM 38.726562 1690424315.1962
MEM 40.472656 1690424315.2967
MEM 41.160156 1690424315.3972
MEM 41.160156 1690424315.4977
MEM 41.160156 1690424315.5982
MEM 41.292969 1690424315.7011
MEM 41.292969 1690424315.8017
MEM 41.292969 1690424315.9022
MEM 41.679688 1690424316.0027
MEM 41.679688 1690424316.1032
MEM 41.679688 1690424316.2037
MEM 41.679688 1690424316.3062
MEM 41.679688 1690424316.4067
MEM 41.679688 1690424316.5072
MEM 42.679688 1690424316.6077
MEM 43.343750 1690424316.7087
MEM 44.699219 1690424316.8092
MEM 52.007812 1690424316.9097
MEM 53.109375 1690424317.0102
MEM 55.691406 1690424317.1107
MEM 56.734375 1690424317.2112
MEM 71.199219 1690424317.3118
MEM 79.882812 1690424317.4124
MEM 88.566406 1690424317.5130
MEM 103.792969 1690424317.6136
MEM 117.523438 1690424317.7141
MEM 130.027344 1690424317.8147
MEM 151.691406 1690424317.9152
MEM 172.031250 1690424318.0169
MEM 176.808594 1690424318.1180
MEM 179.304688 1690424318.2186
MEM 182.523438 1690424318.3191
MEM 185.328125 1690424318.4196
MEM 192.304688 1690424318.5201
MEM 205.503906 1690424318.6207
MEM 225.843750 1690424318.7213
MEM 227.792969 1690424318.8218
MEM 228.300781 1690424318.9224
MEM 233.945312 1690424319.0229
MEM 238.152344 1690424319.1239
MEM 241.691406 1690424319.2244
MEM 244.820312 1690424319.3250
MEM 247.351562 1690424319.4255
MEM 248.023438 1690424319.5261
MEM 248.164062 1690424319.6266
MEM 248.164062 1690424319.7272
MEM 260.304688 1690424319.8278
MEM 283.308594 1690424319.9284
MEM 349.433594 1690424320.0291
MEM 426.652344 1690424320.1297
MEM 509.601562 1690424320.2303
MEM 589.003906 1690424320.3327
MEM 668.410156 1690424320.4333
MEM 752.199219 1690424320.5339
MEM 835.214844 1690424320.6345
MEM 910.238281 1690424320.7357
MEM 941.882812 1690424320.8363
MEM 973.335938 1690424320.9368
MEM 1005.046875 1690424321.0374
MEM 1005.562500 1690424321.1380
MEM 1005.562500 1690424321.2386
MEM 1005.562500 1690424321.3391
MEM 1005.562500 1690424321.4397
MEM 1005.562500 1690424321.5402
MEM 1005.562500 1690424321.6408
MEM 1005.562500 1690424321.7413
MEM 1005.562500 1690424321.8419
MEM 1024.957031 1690424321.9425
MEM 1056.667969 1690424322.0431
MEM 1087.089844 1690424322.1437
MEM 1099.722656 1690424322.2443
MEM 1099.722656 1690424322.3448
MEM 1099.722656 1690424322.4454
MEM 1099.722656 1690424322.5459
MEM 1099.722656 1690424322.6464
MEM 1099.722656 1690424322.7470
MEM 1099.722656 1690424322.8476
MEM 1099.722656 1690424322.9482
MEM 1010.351562 1690424323.0493
MEM 1033.320312 1690424323.1499
MEM 1051.367188 1690424323.2505
MEM 1073.539062 1690424323.3510
MEM 1092.359375 1690424323.4516
MEM 1114.015625 1690424323.5522
MEM 1134.125000 1690424323.6528
MEM 1153.460938 1690424323.7533
MEM 1177.437500 1690424323.8539
MEM 1195.742188 1690424323.9545
MEM 1218.429688 1690424324.0550
MEM 1240.343750 1690424324.1557
MEM 1272.054688 1690424324.2563
MEM 1303.507812 1690424324.3569
MEM 1317.171875 1690424324.4575
MEM 1317.171875 1690424324.5580
MEM 1317.171875 1690424324.6586
MEM 1317.171875 1690424324.7591
MEM 1317.171875 1690424324.8598
MEM 1317.171875 1690424324.9603
MEM 1317.171875 1690424325.0609
MEM 1317.171875 1690424325.1615
MEM 1226.273438 1690424325.2621
MEM 1248.187500 1690424325.3626
MEM 1269.328125 1690424325.4632
MEM 1289.179688 1690424325.5638
MEM 1312.382812 1690424325.6644
MEM 1331.718750 1690424325.7649
MEM 1351.828125 1690424325.8655
MEM 1374.000000 1690424325.9660
MEM 1393.078125 1690424326.0666
MEM 1414.218750 1690424326.1671
MEM 1435.359375 1690424326.2677
MEM 1454.660156 1690424326.3683
MEM 1477.300781 1690424326.4689
MEM 1496.503906 1690424326.5697
MEM 1518.082031 1690424326.6703
MEM 1539.667969 1690424326.7709
MEM 1559.746094 1690424326.8716
MEM 1567.707031 1690424326.9721
MEM 1568.203125 1690424327.0726
MEM 1568.203125 1690424327.1731
MEM 1568.203125 1690424327.2737
MEM 1568.203125 1690424327.3742
MEM 1568.203125 1690424327.4747
MEM 1568.203125 1690424327.5753
MEM 1568.203125 1690424327.6759
MEM 1568.203125 1690424327.7764
MEM 1568.203125 1690424327.8770
MEM 1568.203125 1690424327.9775
MEM 1568.203125 1690424328.0781
MEM 1568.203125 1690424328.1787
MEM 1568.203125 1690424328.2793
MEM 1568.203125 1690424328.3798
MEM 1568.203125 1690424328.4803
MEM 1568.203125 1690424328.5809
MEM 1568.203125 1690424328.6815
MEM 1568.203125 1690424328.7820
MEM 1568.203125 1690424328.8825
MEM 1568.203125 1690424328.9843
MEM 1568.203125 1690424329.0849
MEM 1568.203125 1690424329.1855
MEM 1568.203125 1690424329.2860
MEM 1568.203125 1690424329.3868
MEM 1568.203125 1690424329.4873
MEM 1568.203125 1690424329.5878
MEM 1568.203125 1690424329.6884
MEM 1568.203125 1690424329.7889
MEM 1568.203125 1690424329.8901
MEM 1568.203125 1690424329.9907
MEM 1568.203125 1690424330.0914
MEM 1568.203125 1690424330.1920
MEM 1568.203125 1690424330.2930
MEM 1568.203125 1690424330.3937
MEM 1568.203125 1690424330.4942
MEM 1568.203125 1690424330.5948
MEM 1568.273438 1690424330.6953
MEM 1514.261719 1690424330.7958
MEM 1260.292969 1690424330.8963
MEM 1270.460938 1690424330.9969
MEM 1273.667969 1690424331.0995
MEM 1273.667969 1690424331.2001
MEM 1273.667969 1690424331.3008
MEM 1273.667969 1690424331.4014
MEM 1273.667969 1690424331.5020
MEM 1273.667969 1690424331.6027
MEM 1273.667969 1690424331.7040
MEM 1273.667969 1690424331.8047
MEM 1273.667969 1690424331.9054
MEM 1273.667969 1690424332.0060
MEM 1273.667969 1690424332.1067
MEM 1273.667969 1690424332.2072
MEM 1273.667969 1690424332.3079
MEM 1273.667969 1690424332.4088
MEM 1273.671875 1690424332.5094
MEM 1273.671875 1690424332.6100
MEM 1273.671875 1690424332.7107
MEM 1273.671875 1690424332.8113
MEM 1273.671875 1690424332.9120
MEM 1273.671875 1690424333.0126
MEM 1273.671875 1690424333.1132
MEM 1273.671875 1690424333.2139
MEM 1273.671875 1690424333.3146
MEM 1273.796875 1690424333.4154
MEM 1273.796875 1690424333.5161
MEM 1273.796875 1690424333.6168
MEM 1273.796875 1690424333.7174
MEM 1273.796875 1690424333.8181
MEM 1273.796875 1690424333.9200
MEM 1273.796875 1690424334.0206
MEM 1273.796875 1690424334.1213
MEM 1273.796875 1690424334.2219
MEM 1273.796875 1690424334.3229
MEM 1273.796875 1690424334.4235
MEM 1273.796875 1690424334.5241
MEM 1273.796875 1690424334.6247
MEM 1273.796875 1690424334.7252
MEM 1273.796875 1690424334.8258
MEM 1271.886719 1690424334.9264
MEM 961.726562 1690424335.0270
MEM 961.476562 1690424335.1277
MEM 961.476562 1690424335.2283
MEM 960.980469 1690424335.3289
MEM 960.980469 1690424335.4298
MEM 967.894531 1690424335.5304
MEM 0.000000 1690424335.6309
