CMDLINE /usr/bin/python3 ./memory_profile.py
MEM 0.796875 1690433202.2986
MEM 11.500000 1690433202.3992
MEM 16.011719 1690433202.4998
MEM 18.781250 1690433202.6005
MEM 24.867188 1690433202.7012
MEM 29.039062 1690433202.8019
MEM 34.496094 1690433202.9025
MEM 36.632812 1690433203.0030
MEM 39.277344 1690433203.1039
MEM 40.441406 1690433203.2044
MEM 41.109375 1690433203.3050
MEM 41.300781 1690433203.4060
MEM 41.300781 1690433203.5066
MEM 41.421875 1690433203.6071
MEM 41.421875 1690433203.7079
MEM 41.421875 1690433203.8084
MEM 41.421875 1690433203.9089
MEM 41.808594 1690433204.0094
MEM 41.808594 1690433204.1099
MEM 41.808594 1690433204.2104
MEM 41.808594 1690433204.3109
MEM 41.808594 1690433204.4115
MEM 41.808594 1690433204.5119
MEM 42.039062 1690433204.6124
MEM 43.175781 1690433204.7130
MEM 43.433594 1690433204.8135
MEM 44.785156 1690433204.9140
MEM 45.027344 1690433205.0145
MEM 51.621094 1690433205.1150
MEM 52.117188 1690433205.2156
MEM 53.000000 1690433205.3161
MEM 55.546875 1690433205.4175
MEM 56.871094 1690433205.5180
MEM 56.898438 1690433205.6185
MEM 58.558594 1690433205.7191
MEM 63.402344 1690433205.8198
MEM 66.753906 1690433205.9204
MEM 76.542969 1690433206.0210
MEM 87.847656 1690433206.1216
MEM 89.570312 1690433206.2229
MEM 93.980469 1690433206.3235
MEM 104.136719 1690433206.4241
MEM 112.796875 1690433206.5246
MEM 120.074219 1690433206.6252
MEM 131.886719 1690433206.7258
MEM 142.378906 1690433206.8264
MEM 151.929688 1690433206.9269
MEM 166.496094 1690433207.0276
MEM 173.429688 1690433207.1281
MEM 177.027344 1690433207.2287
MEM 179.984375 1690433207.3292
MEM 182.148438 1690433207.4299
MEM 184.003906 1690433207.5304
MEM 186.394531 1690433207.6317
MEM 188.351562 1690433207.7322
MEM 194.500000 1690433207.8327
MEM 198.300781 1690433207.9333
MEM 203.921875 1690433208.0340
MEM 208.062500 1690433208.1346
MEM 222.839844 1690433208.2351
MEM 229.410156 1690433208.3357
MEM 230.339844 1690433208.4365
MEM 230.593750 1690433208.5370
MEM 235.113281 1690433208.6375
MEM 238.304688 1690433208.7381
MEM 240.921875 1690433208.8389
MEM 243.960938 1690433208.9396
MEM 246.558594 1690433209.0401
MEM 248.660156 1690433209.1406
MEM 249.867188 1690433209.2411
MEM 252.472656 1690433209.3416
MEM 258.089844 1690433209.4421
MEM 261.628906 1690433209.5427
MEM 264.726562 1690433209.6432
MEM 269.917969 1690433209.7438
MEM 273.269531 1690433209.8443
MEM 277.031250 1690433209.9447
MEM 282.425781 1690433210.0453
MEM 283.187500 1690433210.1459
MEM 283.187500 1690433210.2465
MEM 284.269531 1690433210.3470
MEM 287.246094 1690433210.4476
MEM 289.464844 1690433210.5482
MEM 292.585938 1690433210.6487
MEM 296.843750 1690433210.7492
MEM 299.558594 1690433210.8497
MEM 303.453125 1690433210.9503
MEM 306.761719 1690433211.0508
MEM 309.742188 1690433211.1513
MEM 309.953125 1690433211.2517
MEM 309.953125 1690433211.3522
MEM 309.953125 1690433211.4531
MEM 310.207031 1690433211.5536
MEM 333.265625 1690433211.6547
MEM 343.242188 1690433211.7552
MEM 343.242188 1690433211.8557
MEM 343.285156 1690433211.9563
MEM 366.003906 1690433212.0569
MEM 388.175781 1690433212.1575
MEM 408.542969 1690433212.2580
MEM 431.488281 1690433212.3586
MEM 443.117188 1690433212.4600
MEM 464.000000 1690433212.5610
MEM 484.367188 1690433212.6626
MEM 506.550781 1690433212.7640
MEM 529.753906 1690433212.8648
MEM 551.152344 1690433212.9654
MEM 573.066406 1690433213.0663
MEM 594.207031 1690433213.1669
MEM 615.863281 1690433213.2679
MEM 639.324219 1690433213.3685
MEM 661.753906 1690433213.4691
MEM 684.183594 1690433213.5697
MEM 706.613281 1690433213.6709
MEM 728.785156 1690433213.7716
MEM 750.699219 1690433213.8722
MEM 772.097656 1690433213.9728
MEM 794.011719 1690433214.0734
MEM 815.667969 1690433214.1740
MEM 838.613281 1690433214.2747
MEM 862.332031 1690433214.3759
MEM 884.246094 1690433214.4772
MEM 906.160156 1690433214.5779
MEM 927.300781 1690433214.6786
MEM 950.503906 1690433214.7795
MEM 971.164062 1690433214.8801
MEM 345.222656 1690433214.9807
MEM 347.617188 1690433215.0818
MEM 347.875000 1690433215.1824
MEM 348.000000 1690433215.2834
MEM 348.511719 1690433215.3839
MEM 348.769531 1690433215.4845
MEM 353.964844 1690433215.5850
MEM 359.535156 1690433215.6859
MEM 422.550781 1690433215.7865
MEM 455.808594 1690433215.8871
MEM 462.253906 1690433215.9880
MEM 475.593750 1690433216.0885
MEM 489.433594 1690433216.1891
MEM 509.183594 1690433216.2897
MEM 561.746094 1690433216.3903
MEM 580.566406 1690433216.4909
MEM 592.296875 1690433216.5916
MEM 628.066406 1690433216.6922
MEM 648.691406 1690433216.7927
MEM 655.386719 1690433216.8933
MEM 684.816406 1690433216.9939
MEM 718.222656 1690433217.0945
MEM 739.160156 1690433217.1962
MEM 768.476562 1690433217.2969
MEM 788.671875 1690433217.3975
MEM 844.503906 1690433217.4981
MEM 860.488281 1690433217.5987
MEM 876.351562 1690433217.6994
MEM 895.429688 1690433217.8000
MEM 923.953125 1690433217.9006
MEM 942.796875 1690433218.0011
MEM 957.910156 1690433218.1017
MEM 994.976562 1690433218.2024
MEM 1008.156250 1690433218.3031
MEM 1073.394531 1690433218.4039
MEM 1090.707031 1690433218.5044
MEM 1143.339844 1690433218.6050
MEM 1154.941406 1690433218.7056
MEM 1178.062500 1690433218.8062
MEM 1222.046875 1690433218.9068
MEM 1245.367188 1690433219.0073
MEM 1274.695312 1690433219.1080
MEM 1313.269531 1690433219.2087
MEM 1348.441406 1690433219.3093
MEM 1373.191406 1690433219.4099
MEM 1383.984375 1690433219.5104
MEM 1432.394531 1690433219.6111
MEM 1451.695312 1690433219.7117
MEM 1503.054688 1690433219.8123
MEM 1522.214844 1690433219.9129
MEM 1552.871094 1690433220.0135
MEM 1571.714844 1690433220.1141
MEM 1598.855469 1690433220.2148
MEM 1620.992188 1690433220.3155
MEM 1642.550781 1690433220.4161
MEM 1681.085938 1690433220.5167
MEM 1705.140625 1690433220.6173
MEM 1731.824219 1690433220.7179
MEM 1734.144531 1690433220.8184
MEM 1762.972656 1690433220.9190
MEM 1804.386719 1690433221.0197
MEM 1812.691406 1690433221.1203
MEM 1837.304688 1690433221.2209
MEM 1891.515625 1690433221.3215
MEM 1918.835938 1690433221.4221
MEM 1935.910156 1690433221.5227
MEM 1974.359375 1690433221.6233
MEM 1986.507812 1690433221.7238
MEM 2019.609375 1690433221.8244
MEM 2058.488281 1690433221.9251
MEM 2076.535156 1690433222.0257
MEM 2133.914062 1690433222.1263
MEM 2152.476562 1690433222.2269
MEM 2167.437500 1690433222.3275
MEM 2198.289062 1690433222.4282
MEM 2225.050781 1690433222.5288
MEM 2263.421875 1690433222.6293
MEM 2281.691406 1690433222.7300
MEM 2297.039062 1690433222.8306
MEM 2312.207031 1690433222.9318
MEM 2312.871094 1690433223.0323
MEM 2312.902344 1690433223.1328
MEM 2312.902344 1690433223.2333
MEM 2312.902344 1690433223.3337
MEM 2312.902344 1690433223.4341
MEM 2312.902344 1690433223.5347
MEM 2312.902344 1690433223.6352
MEM 2312.902344 1690433223.7357
MEM 2312.902344 1690433223.8361
MEM 2312.902344 1690433223.9365
MEM 2312.902344 1690433224.0369
MEM 2312.902344 1690433224.1374
MEM 2312.902344 1690433224.2381
MEM 2312.902344 1690433224.3386
MEM 2312.902344 1690433224.4391
MEM 2312.925781 1690433224.5397
MEM 2312.925781 1690433224.6402
MEM 2312.925781 1690433224.7418
MEM 2312.925781 1690433224.8423
MEM 2312.925781 1690433224.9437
MEM 2312.925781 1690433225.0442
MEM 2312.925781 1690433225.1447
MEM 2312.925781 1690433225.2452
MEM 2313.371094 1690433225.3457
MEM 2313.371094 1690433225.4462
MEM 2313.371094 1690433225.5466
MEM 2313.371094 1690433225.6472
MEM 2313.371094 1690433225.7477
MEM 2313.371094 1690433225.8482
MEM 2313.371094 1690433225.9487
MEM 2329.105469 1690433226.0493
MEM 2409.222656 1690433226.1499
MEM 2488.628906 1690433226.2505
MEM 2566.992188 1690433226.3512
MEM 2639.953125 1690433226.4519
MEM 2715.750000 1690433226.5525
MEM 2793.351562 1690433226.6531
MEM 2868.625000 1690433226.7537
MEM 2931.789062 1690433226.8543
MEM 2931.789062 1690433226.9550
MEM 2931.789062 1690433227.0555
MEM 2931.789062 1690433227.1560
MEM 2931.816406 1690433227.2566
MEM 2931.816406 1690433227.3572
MEM 2931.816406 1690433227.4578
MEM 2931.816406 1690433227.5583
MEM 2931.816406 1690433227.6588
MEM 2931.816406 1690433227.7596
MEM 2931.816406 1690433227.8601
MEM 2931.816406 1690433227.9607
MEM 2931.816406 1690433228.0612
MEM 2931.816406 1690433228.1617
MEM 2931.816406 1690433228.2622
MEM 2931.816406 1690433228.3627
MEM 2931.816406 1690433228.4631
MEM 2931.816406 1690433228.5636
MEM 2931.816406 1690433228.6641
MEM 2931.816406 1690433228.7646
MEM 2931.816406 1690433228.8651
MEM 2932.203125 1690433228.9656
MEM 2932.367188 1690433229.0662
MEM 2933.503906 1690433229.1668
MEM 2936.140625 1690433229.2675
MEM 2945.000000 1690433229.3680
MEM 2952.550781 1690433229.4691
MEM 2971.597656 1690433229.5703
MEM 2990.285156 1690433229.6712
MEM 3005.832031 1690433229.7719
MEM 3027.667969 1690433229.8725
MEM 3051.656250 1690433229.9731
MEM 3072.601562 1690433230.0737
MEM 3100.328125 1690433230.1743
MEM 3112.144531 1690433230.2748
MEM 3141.753906 1690433230.3755
MEM 3176.949219 1690433230.4761
MEM 3189.214844 1690433230.5767
MEM 3198.429688 1690433230.6774
MEM 3209.738281 1690433230.7782
MEM 3209.738281 1690433230.8792
MEM 3209.867188 1690433230.9798
MEM 3209.867188 1690433231.0804
MEM 3209.867188 1690433231.1810
MEM 3209.867188 1690433231.2816
MEM 3209.867188 1690433231.3824
MEM 3209.867188 1690433231.4830
MEM 3209.867188 1690433231.5836
MEM 3209.890625 1690433231.6842
MEM 3209.890625 1690433231.7848
MEM 3209.890625 1690433231.8855
MEM 3209.890625 1690433231.9861
MEM 3209.890625 1690433232.0868
MEM 3209.890625 1690433232.1879
MEM 3209.890625 1690433232.2885
MEM 3209.890625 1690433232.3892
MEM 3209.890625 1690433232.4898
MEM 3218.812500 1690433232.5904
MEM 3218.812500 1690433232.6910
MEM 3218.812500 1690433232.7916
MEM 3218.812500 1690433232.8922
MEM 3218.812500 1690433232.9928
MEM 3218.812500 1690433233.0940
MEM 3218.812500 1690433233.1946
MEM 3227.804688 1690433233.2954
MEM 3227.804688 1690433233.3960
MEM 3227.804688 1690433233.4966
MEM 3227.804688 1690433233.5973
MEM 3227.804688 1690433233.6982
MEM 3227.804688 1690433233.7988
MEM 3227.804688 1690433233.8997
